"Rawson et al., Compositional variability in mafic arc magmas over short spatial and temporal scales: evidence for the signature of mantle reactive melt channels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary whole rock analyses new and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Raw Whole Rock Major data (wt.%),,,,,,,,,,,,,,Normalised Whole Rock Major data (wt%),,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mocho-Choshuenco,130120_06A,normal SVZ cone,between MC9 and MC15,39.804,71.953,this study,43.54,1.11,22.88,10.57,0.13,4.80,7.40,2.41,0.31,0.14,47.31,7.07,100.41,,43.36,1.10,22.79,10.53,0.13,4.78,7.37,2.40,0.31,0.14,,17.47,91.92,2.14,0.74,8.98,602.09,29.83,262.78,65.77,29.60,44.89,67.32,57.55,23.65,6.46,428.19,131.61,19.14,2.01,0.57,0.56,7.58,2.78,13.42,3.52,1.15,3.69,0.60,3.81,0.75,2.21,0.31,2.11,0.31,2.79,0.13
Mocho-Choshuenco,226_05A,normal SVZ cone,,39.878,71.918,this study,50.96,1.49,17.25,11.14,0.17,4.31,8.00,3.77,0.64,0.31,43.36,1.05,99.08,,51.43,1.50,17.40,11.24,0.18,4.35,8.07,3.80,0.65,0.32,,28.18,101.37,2.93,0.70,9.04,1515.85,42.63,386.64,10.75,29.28,Below DL,51.01,104.92,24.60,15.47,551.90,260.58,28.35,2.32,0.73,1.19,12.93,4.30,21.63,5.59,1.72,5.91,0.90,6.01,1.19,3.47,0.48,3.15,0.49,3.15,0.17
Mocho-Choshuenco,130108_03C_STAR,normal SVZ cone,pre-dating MC9,39.871,71.912,this study,50.21,1.29,20.22,10.18,0.17,3.53,8.47,3.29,0.61,0.23,40.65,2.10,100.31,,50.06,1.29,20.16,10.15,0.17,3.51,8.45,3.28,0.61,0.23,,24.16,100.31,2.38,0.67,9.44,969.05,35.30,310.55,25.13,24.64,Below DL,82.81,76.33,22.67,13.32,485.03,218.53,28.23,3.57,0.93,1.18,13.54,4.55,22.32,5.42,1.68,5.72,0.90,5.79,1.19,3.59,0.51,3.17,0.49,3.41,0.17
Mocho-Choshuenco,130108_02A,normal SVZ cone,pre-dating MC12,39.872,71.893,this study,52.21,1.29,19.03,9.99,0.16,3.57,7.99,3.54,0.78,0.22,41.42,1.47,100.26,,52.07,1.29,18.98,9.96,0.16,3.56,7.97,3.53,0.78,0.22,,26.03,108.36,2.71,0.83,11.01,1112.24,37.06,336.80,25.56,25.72,Below DL,88.83,92.59,24.32,19.11,517.85,296.95,31.61,3.81,0.98,1.42,13.43,4.29,20.19,5.16,1.57,5.48,0.84,5.42,1.07,3.22,0.47,3.02,0.45,3.44,0.17
Mocho-Choshuenco,130108_08C,normal SVZ cone,pre-dating MC3,39.878,71.918,this study,52.02,1.49,17.39,11.12,0.18,4.36,8.18,3.74,0.66,0.30,43.70,0.73,100.19,,51.92,1.49,17.36,11.10,0.18,4.35,8.17,3.73,0.66,0.30,,28.26,100.49,2.94,0.74,8.82,1515.85,44.42,393.61,11.69,29.89,Below DL,49.12,105.59,24.62,15.93,560.13,263.81,28.11,2.25,0.70,1.19,12.08,4.05,19.92,4.98,1.63,5.17,0.80,5.38,1.08,3.19,0.45,2.90,0.42,2.87,0.16
Mocho-Choshuenco,130108_03D,normal SVZ cone,pre-dating MC9,39.871,71.912,this study,52.15,1.57,18.18,11.00,0.18,3.36,6.81,3.61,0.91,0.29,37.70,2.05,100.13,,52.08,1.57,18.16,10.99,0.18,3.36,6.80,3.60,0.91,0.29,,33.00,147.28,3.73,1.04,12.49,1379.63,41.53,371.03,13.60,25.89,Below DL,109.49,98.58,25.38,22.79,456.94,320.28,36.21,3.88,1.07,1.72,15.60,5.30,26.19,6.47,1.93,6.80,1.08,7.10,1.43,4.25,0.59,3.89,0.59,4.58,0.23
Mocho-Choshuenco,130107_02B,normal SVZ cone,,39.882,71.941,this study,55.07,1.11,17.32,9.09,0.16,4.49,7.91,3.90,0.88,0.21,49.42,-0.20,99.95,,55.10,1.11,17.33,9.10,0.16,4.49,7.91,3.90,0.88,0.21,,24.45,94.43,2.55,0.84,9.62,1016.74,32.18,250.56,53.98,27.34,32.53,44.49,98.26,21.84,22.09,516.44,328.99,28.12,2.88,0.83,1.59,12.29,3.99,17.95,4.60,1.49,4.99,0.79,4.77,1.02,2.89,0.42,2.75,0.39,2.87,0.16
Mocho-Choshuenco,130122_02A,normal SVZ cone,pre-dating MC3,39.823,71.899,this study,55.14,0.96,19.51,7.99,0.14,2.47,5.30,3.77,1.09,0.18,37.92,3.36,99.92,,55.19,0.96,19.52,8.00,0.14,2.47,5.31,3.78,1.09,0.18,,33.58,186.31,4.83,1.08,16.88,816.76,28.15,170.09,20.69,15.75,Below DL,50.74,80.56,22.83,28.88,343.75,364.66,36.30,5.07,1.36,1.99,18.02,5.45,25.64,6.15,1.66,6.33,1.01,6.54,1.32,3.93,0.58,3.98,0.59,5.57,0.31
Mocho-Choshuenco,130108_01C,normal SVZ cone,pre-dating MC12,39.871,71.891,this study,53.67,1.52,17.66,10.35,0.18,3.29,6.84,3.84,1.01,0.29,38.64,1.44,100.11,,53.61,1.52,17.64,10.34,0.18,3.29,6.84,3.83,1.01,0.29,,33.07,148.60,3.72,1.13,12.96,1476.44,37.84,342.17,12.38,24.75,Below DL,101.85,104.79,24.40,25.71,461.71,366.61,36.32,4.15,1.15,1.94,16.27,5.26,24.65,6.46,1.88,6.66,1.04,6.73,1.32,4.02,0.57,3.67,0.56,4.55,0.23
Mocho-Choshuenco,130115_03B,normal SVZ cone,pre-dating MC12,39.877,71.918,this study,54.20,1.51,17.19,10.49,0.19,3.31,6.95,3.92,1.04,0.30,38.47,0.81,99.93,,54.24,1.51,17.21,10.49,0.19,3.32,6.96,3.93,1.04,0.30,,34.10,147.65,3.77,1.11,13.10,1496.29,38.84,346.16,11.96,26.09,Below DL,110.44,109.28,25.12,26.85,479.24,380.80,38.86,4.17,1.20,2.01,16.96,5.56,25.22,6.35,1.92,6.68,1.09,6.78,1.38,4.00,0.57,3.80,0.56,4.42,0.22
Mocho-Choshuenco,227_01A,normal SVZ cone,,39.886,71.936,this study,55.10,1.11,17.59,9.22,0.16,4.86,7.97,3.88,0.83,0.21,51.05,-0.15,100.78,,54.67,1.10,17.45,9.15,0.16,4.82,7.91,3.85,0.83,0.20,,24.17,92.86,2.44,0.84,9.49,960.89,30.89,251.27,64.87,28.65,39.55,62.13,99.62,21.91,21.74,506.90,311.21,27.12,2.44,0.72,1.50,11.20,3.59,17.98,4.66,1.43,4.89,0.76,4.93,0.98,2.92,0.41,2.72,0.42,2.94,0.15
Mocho-Choshuenco,130116_03A,normal SVZ cone,pre-dating MC12,39.892,71.923,this study,53.78,1.54,17.55,10.47,0.18,3.12,6.52,3.90,1.07,0.30,37.11,1.66,100.09,,53.73,1.54,17.53,10.46,0.18,3.12,6.51,3.89,1.07,0.30,,36.13,161.23,4.00,1.12,14.12,1494.26,38.56,320.41,9.90,23.86,Below DL,97.84,106.67,24.26,27.67,444.51,375.01,40.03,4.53,1.30,2.04,17.54,5.66,27.63,6.90,1.97,7.39,1.16,7.31,1.46,4.28,0.61,4.01,0.61,4.76,0.25
Mocho-Choshuenco,130108_08Bii,normal SVZ cone,Between MC3 and MC9,,,this study,56.01,1.47,16.55,9.96,0.18,3.17,6.72,4.18,1.20,0.30,38.64,0.34,100.09,,55.96,1.47,16.54,9.95,0.18,3.17,6.71,4.18,1.20,0.30,,34.70,147.06,3.79,1.16,13.07,1420.80,34.83,300.22,9.39,22.85,Below DL,91.41,110.40,22.88,30.97,441.37,403.17,39.01,4.37,1.27,2.39,17.05,5.55,26.97,6.60,1.93,7.17,1.12,7.24,1.45,4.21,0.60,3.94,0.60,4.54,0.23
Mocho-Choshuenco,120_03A,normal SVZ cone,,39.911,71.999,this study,55.67,1.37,16.33,10.36,0.18,3.60,7.38,4.12,1.02,0.26,40.76,0.13,100.42,,55.43,1.36,16.26,10.31,0.18,3.59,7.35,4.10,1.02,0.26,,31.68,125.85,3.08,1.03,11.41,1223.57,36.43,341.13,11.90,26.47,Below DL,113.97,114.54,23.20,26.49,506.94,380.28,35.12,3.71,1.09,1.98,14.65,4.66,23.16,5.83,1.76,6.19,0.95,6.22,1.26,3.61,0.51,3.67,0.53,3.72,0.19
Mocho-Choshuenco,130107_02C,normal SVZ cone,,39.882,71.941,this study,55.06,1.10,17.44,9.09,0.16,4.64,7.86,3.82,0.90,0.20,50.25,-0.16,100.11,,55.00,1.10,17.42,9.08,0.16,4.64,7.86,3.81,0.90,0.20,,24.61,94.08,2.52,0.83,9.20,1027.10,32.91,254.94,64.06,29.40,44.15,65.21,99.36,22.34,21.96,510.84,320.86,27.10,2.67,0.80,1.57,11.89,3.79,17.30,4.40,1.41,4.89,0.73,4.80,0.99,2.81,0.39,2.69,0.41,2.73,0.15
Mocho-Choshuenco,130129_04A,normal SVZ cone,pre-dating MC21,39.939,71.908,this study,56.33,1.27,17.71,9.01,0.17,2.91,7.16,4.33,1.00,0.25,39.00,0.10,100.23,,56.20,1.26,17.67,8.99,0.17,2.90,7.15,4.32,1.00,0.24,,30.73,119.85,3.00,0.99,10.90,1197.54,31.29,258.95,4.12,20.66,Below DL,45.32,106.53,23.32,25.21,492.30,341.69,31.81,3.02,0.91,1.92,13.96,4.46,23.16,5.78,1.87,6.29,1.02,6.42,1.30,3.88,0.54,3.70,0.54,3.93,0.19
Mocho-Choshuenco,130107_02D,normal SVZ cone,,39.882,71.941,this study,54.59,1.09,17.57,9.17,0.16,4.86,8.04,3.78,0.84,0.20,51.19,-0.16,100.15,,54.50,1.09,17.55,9.16,0.16,4.86,8.03,3.78,0.84,0.20,,24.46,93.99,2.38,0.82,9.44,1002.87,33.35,257.04,66.13,29.71,42.64,64.43,98.63,22.31,21.68,517.57,311.31,27.02,2.59,0.78,1.54,11.79,3.84,17.64,4.45,1.46,4.97,0.76,4.94,1.00,3.01,0.41,2.78,0.42,2.98,0.16
Mocho-Choshuenco,130116_02A,normal SVZ cone,,39.884,71.920,this study,56.48,1.45,16.59,9.84,0.18,3.12,6.65,4.21,1.22,0.30,38.57,0.10,100.16,,56.39,1.45,16.57,9.83,0.18,3.12,6.64,4.20,1.22,0.30,,36.79,156.19,4.08,1.21,14.01,1453.15,34.84,301.06,8.88,22.78,Below DL,94.67,113.39,23.21,32.82,459.08,428.80,40.70,4.43,1.30,2.42,18.25,5.92,28.12,7.08,1.98,7.39,1.14,7.23,1.45,4.25,0.61,4.08,0.61,4.92,0.25
Mocho-Choshuenco,130115_04A,normal SVZ cone,pre-dating MC15,39.877,71.918,this study,56.35,1.41,17.04,9.54,0.19,2.83,6.06,4.46,1.08,0.30,37.01,0.77,100.04,,56.33,1.41,17.04,9.53,0.19,2.83,6.05,4.46,1.08,0.30,,36.23,146.41,3.66,1.12,12.61,1446.25,33.98,247.53,0.27,20.24,0.42,37.20,113.74,24.07,27.33,461.22,378.02,38.16,3.62,1.07,2.02,15.81,5.26,26.81,6.68,2.09,7.20,1.14,7.48,1.49,4.39,0.62,4.28,0.64,4.67,0.22
Mocho-Choshuenco,130108_01G,normal SVZ cone,between MC12 and MC13,39.871,71.891,this study,56.80,1.40,16.96,9.58,0.20,2.85,6.10,4.45,1.09,0.30,37.04,0.70,100.45,,56.54,1.39,16.89,9.53,0.20,2.83,6.08,4.43,1.09,0.30,,34.78,141.06,3.54,1.11,12.39,1412.87,32.41,239.11,0.55,19.37,Below DL,36.73,109.75,23.26,27.06,443.15,374.09,36.20,3.65,1.13,2.08,16.60,5.37,24.82,6.28,1.90,6.99,1.07,7.00,1.42,4.07,0.61,3.96,0.59,4.21,0.22
Mocho-Choshuenco,124_06Aii,normal SVZ cone,,39.852,71.926,this study,57.02,1.45,16.40,9.82,0.17,3.24,6.88,4.35,1.23,0.30,39.48,-0.31,100.55,,56.71,1.44,16.31,9.77,0.17,3.22,6.85,4.32,1.22,0.30,,36.05,150.29,3.85,1.21,13.02,1424.09,35.26,309.29,9.39,22.98,Below DL,101.73,112.50,23.23,33.23,467.23,424.70,39.84,4.21,1.21,2.48,17.19,5.45,25.45,6.35,1.77,6.79,1.07,6.61,1.37,3.97,0.57,3.72,0.57,4.32,0.23
Mocho-Choshuenco,130108_08Bii,normal SVZ cone,Between MC3 and MC9,39.845,71.935,this study,56.01,1.47,16.55,9.96,0.18,3.17,6.72,4.18,1.20,0.30,38.64,0.34,100.09,,55.96,1.47,16.54,9.95,0.18,3.17,6.71,4.18,1.20,0.30,,36.64,156.07,4.02,1.21,13.64,1484.77,36.13,321.85,10.10,24.31,Below DL,96.97,115.61,24.14,33.08,461.57,418.11,40.86,4.35,1.26,2.42,17.87,5.72,27.60,6.74,1.96,7.37,1.14,7.30,1.50,4.36,0.62,4.09,0.61,4.86,0.24
Mocho-Choshuenco,124_01A,normal SVZ cone,,39.854,71.955,this study,54.99,1.46,16.62,10.25,0.18,3.59,7.60,4.06,1.07,0.27,40.96,0.08,100.16,,54.90,1.45,16.59,10.24,0.18,3.59,7.59,4.05,1.07,0.27,,32.36,132.00,3.32,1.06,11.78,1363.86,40.18,361.14,14.05,26.12,Below DL,122.51,114.16,23.84,27.69,502.10,387.67,35.33,3.69,1.08,2.08,15.35,5.03,23.39,5.77,1.73,6.29,0.98,6.41,1.30,3.82,0.53,3.55,0.54,3.93,0.21
Mocho-Choshuenco,130116_03B,normal SVZ cone,post-dating MC12,39.892,71.923,this study,54.71,1.12,17.57,9.25,0.16,4.82,8.00,3.80,0.86,0.21,50.77,0.02,100.52,,54.43,1.11,17.48,9.20,0.16,4.79,7.96,3.78,0.85,0.21,,25.13,98.10,2.56,0.84,9.44,1039.09,32.49,251.91,67.16,29.46,39.04,56.41,98.21,21.57,21.23,501.85,313.01,26.79,2.70,0.78,1.54,11.79,3.83,17.83,4.48,1.44,4.96,0.77,4.86,1.00,2.89,0.42,2.84,0.41,2.94,0.16
Mocho-Choshuenco,130116_08B,normal SVZ cone,pre-dating MC15,39.893,71.906,this study,57.34,1.35,16.60,9.22,0.18,2.85,6.42,4.59,1.14,0.27,37.97,0.20,100.19,,57.24,1.35,16.57,9.21,0.18,2.85,6.41,4.58,1.13,0.27,,35.63,138.55,3.51,1.13,12.31,1366.97,33.69,246.48,0.22,19.70,Below DL,43.65,114.91,23.66,28.71,474.68,397.27,36.53,3.49,1.04,2.21,15.59,5.12,23.95,6.14,1.83,6.78,1.05,6.73,1.35,3.98,0.59,3.84,0.59,4.08,0.20
Mocho-Choshuenco,124_06Ai ,normal SVZ cone,,39.852,71.926,this study,57.02,1.45,16.40,9.82,0.17,3.24,6.88,4.35,1.23,0.30,39.48,-0.31,100.55,,56.71,1.44,16.31,9.77,0.17,3.22,6.85,4.32,1.22,0.30,,35.81,150.64,3.91,1.24,13.34,1433.19,35.46,313.62,9.66,23.19,Below DL,103.57,114.21,22.92,33.51,473.08,430.23,39.71,4.25,1.24,2.53,17.80,5.75,26.21,6.53,1.89,7.06,1.09,6.78,1.41,4.14,0.59,3.95,0.58,4.55,0.23
Mocho-Choshuenco,130109_07A,normal SVZ cone,,39.946,72.063,this study,59.19,1.18,16.94,7.66,0.16,2.57,5.83,4.77,1.30,0.34,39.86,0.14,100.08,,59.14,1.18,16.93,7.65,0.16,2.56,5.83,4.77,1.30,0.34,,34.20,170.76,5.38,1.31,15.43,1837.19,28.46,183.75,0.68,15.55,Below DL,24.05,108.55,24.52,32.59,562.20,492.31,47.25,4.07,1.14,2.26,20.46,6.43,27.35,6.59,1.88,6.49,1.02,6.16,1.28,3.85,0.53,3.56,0.53,4.59,0.29
Mocho-Choshuenco,121_04A,normal SVZ cone,pre-dating MC18,39.889,71.969,this study,59.32,0.87,17.25,7.10,0.13,3.42,6.27,4.19,0.95,0.19,48.80,0.04,99.75,,59.47,0.88,17.30,7.12,0.13,3.43,6.28,4.20,0.96,0.19,,21.61,11.75,3.16,1.00,11.59,1002.19,23.08,188.55,21.00,21.21,19.28,34.15,93.50,22.20,29.11,480.23,295.34,30.25,3.60,0.95,0.95,13.97,4.18,17.24,4.01,1.20,4.19,0.65,4.01,0.82,2.44,0.35,2.33,0.35,0.84,0.22
Mocho-Choshuenco,130122_04A,normal SVZ cone,,39.864,71.951,this study,59.67,1.25,16.47,7.96,0.18,2.47,5.53,4.95,1.28,0.32,38.07,0.16,100.21,,59.54,1.25,16.43,7.94,0.17,2.47,5.51,4.94,1.27,0.32,,35.13,147.04,3.96,1.22,14.70,1597.54,28.63,164.01,0.85,14.55,Below DL,27.23,108.21,23.45,31.57,482.12,446.64,38.85,3.93,1.16,2.33,16.66,5.41,25.32,6.10,1.87,6.42,1.04,6.49,1.34,4.01,0.56,3.84,0.57,4.25,0.24
Mocho-Choshuenco,116_10Aii,normal SVZ cone,pre-dating MC18,39.889,71.969,this study,60.71,1.21,16.46,7.63,0.17,2.31,5.22,5.05,1.37,0.33,37.48,0.19,100.64,,60.33,1.21,16.35,7.58,0.17,2.30,5.18,5.01,1.36,0.33,,37.69,162.26,4.31,1.88,19.26,1702.52,28.02,144.16,1.08,13.55,Below DL,22.44,111.94,24.13,36.96,477.50,472.88,42.26,4.19,1.22,2.66,17.92,5.85,25.79,6.63,1.92,6.73,1.10,6.94,1.42,4.23,0.61,3.95,0.59,4.61,0.25
Mocho-Choshuenco,130109_01Aii,normal SVZ cone,,39.946,72.069,this study,60.72,1.11,16.68,6.75,0.16,2.16,5.12,5.03,1.47,0.36,38.73,0.48,100.04,,60.70,1.11,16.68,6.74,0.16,2.15,5.12,5.02,1.47,0.36,,35.74,187.14,5.89,1.39,16.90,Over range,23.90,126.25,0.20,11.43,Below DL,10.79,104.01,23.25,35.59,514.39,538.46,51.38,4.58,1.32,2.56,22.57,6.93,29.08,6.78,1.89,6.73,1.06,6.63,1.30,3.95,0.58,3.76,0.57,5.09,0.32
Mocho-Choshuenco,130109_07B,normal SVZ cone,,39.946,72.063,this study,61.16,1.12,16.76,6.73,0.16,2.15,5.06,5.06,1.51,0.36,38.75,-0.00,100.08,,61.12,1.12,16.75,6.72,0.16,2.15,5.05,5.05,1.51,0.36,,36.58,189.36,6.00,1.44,16.44,1865.71,23.34,122.04,0.74,11.21,Below DL,13.89,106.64,23.08,36.03,505.57,550.14,52.29,4.67,1.33,2.57,24.28,7.50,32.37,7.23,2.14,7.66,1.15,7.14,1.49,4.41,0.62,4.05,0.61,5.58,0.37
Mocho-Choshuenco,116_10Ai,normal SVZ cone,pre-dating MC18,39.889,71.969,this study,61.28,1.23,16.50,7.69,0.17,2.30,5.17,5.16,1.30,0.33,37.16,0.04,101.16,,60.57,1.22,16.31,7.60,0.17,2.27,5.11,5.10,1.29,0.32,,39.42,165.79,4.34,1.77,16.00,1669.92,28.26,145.25,0.91,13.69,Below DL,24.78,117.38,24.08,35.97,473.77,485.57,43.20,4.09,1.19,2.48,17.67,5.93,28.55,7.09,2.09,7.65,1.19,7.48,1.52,4.61,0.66,4.38,0.65,4.91,0.28
Mocho-Choshuenco,130122_06A,normal SVZ cone,,39.873,71.957,this study,60.87,1.21,16.34,7.39,0.18,2.19,5.07,5.11,1.37,0.33,37.01,-0.04,100.01,,60.86,1.21,16.33,7.39,0.18,2.19,5.07,5.10,1.37,0.33,,37.97,160.53,4.35,1.34,15.08,1719.62,27.90,123.36,0.43,12.35,Below DL,14.65,111.69,24.10,35.10,471.26,482.69,42.56,4.34,1.26,2.62,18.86,6.20,26.98,6.78,1.94,7.12,1.12,7.08,1.47,4.37,0.62,4.18,0.63,4.59,0.27
Mocho-Choshuenco,130109_01Ai ,normal SVZ cone,,39.946,72.069,this study,60.72,1.11,16.68,6.75,0.16,2.16,5.12,5.03,1.47,0.36,38.73,0.48,100.04,,60.70,1.11,16.68,6.74,0.16,2.15,5.12,5.02,1.47,0.36,,35.70,187.50,5.91,1.40,17.06,1833.06,24.06,123.07,0.17,11.13,Below DL,10.67,103.20,23.46,35.46,508.58,542.52,50.32,4.56,1.31,2.54,22.42,6.83,30.29,7.14,2.02,7.35,1.12,6.92,1.43,4.17,0.59,4.00,0.60,5.19,0.35
Mocho-Choshuenco,302_03A,normal SVZ cone,between MC3 and MC15,39.881,71.915,this study,58.05,1.36,17.12,9.00,0.17,2.79,5.73,4.34,1.04,0.29,38.01,0.34,100.24,,57.91,1.35,17.08,8.98,0.17,2.78,5.72,4.33,1.03,0.29,,35.93,140.30,3.53,1.11,13.62,1446.52,35.01,251.87,0.23,20.01,Below DL,44.90,117.53,24.48,27.74,472.52,385.63,36.70,3.70,1.09,2.21,16.59,5.58,26.29,6.79,2.06,7.09,1.15,7.38,1.49,4.56,0.62,4.39,0.62,4.53,0.22
Mocho-Choshuenco,115_03E,Central vent : unit MC10D,7065-4555,39.961,71.903,this study,48.25,1.11,21.57,10.05,0.13,4.47,7.82,2.67,0.45,0.18,46.78,3.52,100.21,,48.15,1.11,21.52,10.03,0.13,4.46,7.80,2.66,0.45,0.18,,22.03,95.35,2.21,0.50,8.78,798.72,32.78,259.23,58.61,28.46,31.86,70.86,67.08,23.26,10.33,469.34,185.76,21.84,2.36,0.66,0.86,10.36,3.54,17.97,4.57,1.43,4.73,0.74,4.87,0.94,2.86,0.41,2.59,0.42,3.08,0.14
