Title: mars_ultram

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 rhm-oxide_0 whitlockite 
150.00 1590.00 99.973016 34.595774 30.438296 4.157478 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1585.00 99.972272 34.542563 29.966067 4.576496 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1580.00 99.971528 34.490486 29.505359 4.985127 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1575.00 99.970783 34.439489 29.055590 5.383899 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1570.00 99.970037 34.389518 28.616210 5.773308 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1565.00 99.969291 34.340527 28.186702 6.153825 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1560.00 99.968543 34.292467 27.766575 6.525893 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1555.00 99.967794 34.245296 27.355367 6.889929 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1550.00 99.967043 34.198972 26.952639 7.246333 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1545.00 99.966290 34.153456 26.557979 7.595477 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1540.00 99.965534 34.108711 26.170991 7.937720 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1535.00 99.964775 34.064703 25.791304 8.273399 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1530.00 99.964012 34.021397 25.418564 8.602833 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1525.00 99.963247 33.978762 25.052434 8.926329 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1520.00 99.962477 33.936769 24.692596 9.244173 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1515.00 99.961703 33.895389 24.338747 9.556643 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1510.00 99.960924 33.854596 23.990599 9.863997 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1505.00 99.960140 33.814363 23.647879 10.166484 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1500.00 99.959351 33.774666 23.310328 10.464339 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1495.00 99.958556 33.735484 22.977699 10.757784 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1490.00 99.957755 33.696793 22.649762 11.047032 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1485.00 99.956948 33.658575 22.326295 11.332280 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1480.00 99.956133 33.620809 22.007091 11.613718 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1475.00 99.955312 33.583478 21.691957 11.891521 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1470.00 99.954483 33.546565 21.380709 12.165856 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1465.00 99.953646 33.510054 21.073179 12.436875 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1460.00 99.952801 33.473931 20.769209 12.704722 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1455.00 99.951947 33.438183 20.468657 12.969527 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1450.00 99.951084 33.402799 20.171392 13.231407 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1445.00 99.950213 33.367766 19.877298 13.490469 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1440.00 99.949332 33.333077 19.586273 13.746804 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1435.00 99.948441 33.298724 19.298232 14.000492 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1430.00 99.947540 33.264699 19.013104 14.251595 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1425.00 99.946629 33.230998 18.730835 14.500163 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1420.00 99.945709 33.197619 18.451390 14.746229 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1415.00 99.944778 33.164558 18.174751 14.989807 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1410.00 99.943837 33.131818 17.900922 15.230896 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1405.00 99.942886 33.099398 17.629924 15.469474 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1400.00 99.941925 33.067304 17.361801 15.705503 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1395.00 99.940954 33.035541 17.096620 15.938922 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1390.00 99.939974 33.004117 16.834466 16.169651 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1385.00 99.939047 32.943646 16.445595 16.243818 0.254233 0.000000 0.000000 0.000000 0.000000 
150.00 1380.00 99.938124 32.883245 16.060035 16.310756 0.512455 0.000000 0.000000 0.000000 0.000000 
150.00 1375.00 99.937203 32.824666 15.685471 16.379772 0.759423 0.000000 0.000000 0.000000 0.000000 
150.00 1370.00 99.936284 32.767817 15.321411 16.450562 0.995845 0.000000 0.000000 0.000000 0.000000 
150.00 1365.00 99.935367 32.712612 14.967409 16.522811 1.222392 0.000000 0.000000 0.000000 0.000000 
150.00 1360.00 99.934451 32.658969 14.623064 16.596203 1.439701 0.000000 0.000000 0.000000 0.000000 
150.00 1355.00 99.933539 32.606814 14.288019 16.670413 1.648382 0.000000 0.000000 0.000000 0.000000 
150.00 1350.00 99.932629 32.556078 13.961950 16.745110 1.849017 0.000000 0.000000 0.000000 0.000000 
150.00 1345.00 99.931722 32.506695 13.644569 16.819961 2.042165 0.000000 0.000000 0.000000 0.000000 
150.00 1340.00 99.930819 32.458604 13.335614 16.894628 2.228362 0.000000 0.000000 0.000000 0.000000 
150.00 1335.00 99.929921 32.411747 13.034851 16.968772 2.408124 0.000000 0.000000 0.000000 0.000000 
150.00 1330.00 99.929028 32.366068 12.742063 17.042058 2.581947 0.000000 0.000000 0.000000 0.000000 
150.00 1325.00 99.928141 32.321516 12.457056 17.114154 2.750307 0.000000 0.000000 0.000000 0.000000 
150.00 1320.00 99.927261 32.278042 12.179644 17.184738 2.913659 0.000000 0.000000 0.000000 0.000000 
150.00 1315.00 99.926390 32.235597 11.909656 17.253498 3.072442 0.000000 0.000000 0.000000 0.000000 
150.00 1310.00 99.925527 32.194135 11.646926 17.320140 3.227069 0.000000 0.000000 0.000000 0.000000 
150.00 1305.00 99.924674 32.153613 11.391293 17.384384 3.377936 0.000000 0.000000 0.000000 0.000000 
150.00 1300.00 99.923832 32.113989 11.142596 17.445978 3.525415 0.000000 0.000000 0.000000 0.000000 
150.00 1295.00 99.923002 32.075220 10.900677 17.504689 3.669855 0.000000 0.000000 0.000000 0.000000 
150.00 1290.00 99.922185 32.037268 10.665371 17.560315 3.811583 0.000000 0.000000 0.000000 0.000000 
150.00 1285.00 99.921381 32.000094 10.436512 17.612679 3.950903 0.000000 0.000000 0.000000 0.000000 
150.00 1280.00 99.920591 31.963661 10.213930 17.661637 4.088095 0.000000 0.000000 0.000000 0.000000 
150.00 1275.00 99.919817 31.927931 9.997446 17.707070 4.223415 0.000000 0.000000 0.000000 0.000000 
150.00 1270.00 99.919058 31.892871 9.786880 17.748892 4.357099 0.000000 0.000000 0.000000 0.000000 
150.00 1265.00 99.918316 31.858445 9.582043 17.787043 4.489359 0.000000 0.000000 0.000000 0.000000 
150.00 1260.00 99.917590 31.824621 9.382744 17.821490 4.620387 0.000000 0.000000 0.000000 0.000000 
150.00 1255.00 99.916881 31.791366 9.188785 17.852227 4.750355 0.000000 0.000000 0.000000 0.000000 
150.00 1250.00 99.916189 31.758651 8.999968 17.879266 4.879416 0.000000 0.000000 0.000000 0.000000 
150.00 1245.00 99.915515 31.726443 8.816091 17.902645 5.007707 0.000000 0.000000 0.000000 0.000000 
150.00 1240.00 99.914859 31.694716 8.636952 17.922416 5.135348 0.000000 0.000000 0.000000 0.000000 
150.00 1235.00 99.914221 31.663441 8.462348 17.938648 5.262446 0.000000 0.000000 0.000000 0.000000 
150.00 1230.00 99.913600 31.632592 8.292078 17.951423 5.389091 0.000000 0.000000 0.000000 0.000000 
150.00 1225.00 99.912997 31.602143 8.125945 17.960833 5.515366 0.000000 0.000000 0.000000 0.000000 
150.00 1220.00 99.912412 31.572070 7.963752 17.966981 5.641337 0.000000 0.000000 0.000000 0.000000 
150.00 1215.00 99.911844 31.542351 7.805312 17.969975 5.767064 0.000000 0.000000 0.000000 0.000000 
150.00 1210.00 99.911293 31.512963 7.650438 17.969929 5.892596 0.000000 0.000000 0.000000 0.000000 
150.00 1205.00 99.910760 31.483883 7.498943 17.966951 6.017989 0.000000 0.000000 0.000000 0.000000 
150.00 1200.00 99.910243 31.455072 7.350564 17.961049 6.143458 0.000000 0.000000 0.000000 0.000000 
150.00 1195.00 99.909743 31.426506 7.205115 17.952324 6.269067 0.000000 0.000000 0.000000 0.000000 
150.00 1190.00 99.909260 31.398170 7.062444 17.940906 6.394819 0.000000 0.000000 0.000000 0.000000 
150.00 1185.00 99.908792 31.370049 6.922411 17.926925 6.520713 0.000000 0.000000 0.000000 0.000000 
150.00 1180.00 99.908341 31.342132 6.784883 17.910513 6.646736 0.000000 0.000000 0.000000 0.000000 
150.00 1175.00 99.906798 31.250480 5.936802 17.831079 7.063182 0.000000 0.419417 0.000000 0.000000 
150.00 1170.00 99.904951 31.146124 4.920846 17.745319 7.522058 0.000000 0.957901 0.000000 0.000000 
150.00 1165.00 99.903115 31.047529 3.965221 17.670990 7.940072 0.000000 1.449628 0.000000 0.021618 
150.00 1160.00 99.901646 30.970783 3.232535 17.618494 8.250709 0.000000 1.831292 0.000000 0.037752 
150.00 1155.00 99.900827 30.881369 2.449618 17.523167 6.651887 2.080642 2.119453 0.000000 0.056601 
150.00 1150.00 99.900010 30.828535 1.980966 17.483989 6.546357 2.395336 2.355335 0.000000 0.066552 
150.00 1145.00 99.899355 30.785078 1.608412 17.452784 6.488593 2.613652 2.547387 0.000000 0.074249 
150.00 1140.00 99.898825 30.748483 1.307277 17.426764 6.463094 2.765578 2.705436 0.000000 0.080334 
150.00 1135.00 99.898394 30.717066 1.060853 17.404148 6.461246 2.869193 2.836400 0.000000 0.085226 
150.00 1130.00 99.898043 30.689665 0.857435 17.383793 6.478488 2.935382 2.945355 0.000000 0.089211 
150.00 1125.00 99.897755 30.665453 0.688526 17.364985 6.512778 2.970462 3.036217 0.000000 0.092486 
150.00 1120.00 99.897517 30.643829 0.547673 17.347296 6.563868 2.977580 3.112229 0.000000 0.095183 
150.00 1115.00 99.897316 30.624320 0.429555 17.330475 6.633316 2.957129 3.176454 0.000000 0.097390 
150.00 1110.00 99.897140 30.606476 0.328669 17.314263 6.726143 2.905478 3.232790 0.000000 0.099133 
150.00 1105.00 99.896593 30.567354 0.133781 17.293336 9.005050 0.672511 3.345680 0.010957 0.106039 
150.00 1100.00 99.896485 30.546181 0.000000 17.263147 9.025607 0.716381 3.409649 0.020672 0.110725 
150.00 1095.00 99.896444 30.538788 0.000000 17.257830 9.009676 0.732896 3.407367 0.020294 0.110725 
150.00 1090.00 99.896403 30.531408 0.000000 17.252520 8.993872 0.749320 3.405060 0.019911 0.110725 
150.00 1085.00 99.896361 30.524040 0.000000 17.247216 8.978213 0.765632 3.402730 0.019523 0.110725 
150.00 1080.00 99.896320 30.516684 0.000000 17.241921 8.962713 0.781819 3.400376 0.019130 0.110725 
150.00 1075.00 99.896278 30.509341 0.000000 17.236633 8.947382 0.797868 3.398001 0.018733 0.110725 
150.00 1070.00 99.896236 30.502011 0.000000 17.231354 8.932228 0.813772 3.395603 0.018329 0.110725 
150.00 1065.00 99.896194 30.494694 0.000000 17.226082 8.917261 0.829521 3.393183 0.017921 0.110725 
150.00 1060.00 99.896152 30.487390 0.000000 17.220820 8.902484 0.845111 3.390742 0.017507 0.110725 
150.00 1055.00 99.896110 30.480098 0.000000 17.215565 8.887905 0.860537 3.388279 0.017087 0.110725 
150.00 1050.00 99.896067 30.472819 0.000000 17.210319 8.873525 0.875796 3.385793 0.016661 0.110725 
150.00 1045.00 99.896024 30.465553 0.000000 17.205081 8.859350 0.890884 3.383284 0.016228 0.110725 
150.00 1040.00 99.895981 30.458300 0.000000 17.199851 8.845382 0.905801 3.380753 0.015789 0.110725 
150.00 1035.00 99.895938 30.451059 0.000000 17.194627 8.831623 0.920544 3.378197 0.015343 0.110725 
150.00 1030.00 99.895895 30.443830 0.000000 17.189411 8.818076 0.935113 3.375616 0.014889 0.110725 
150.00 1025.00 99.895851 30.436613 0.000000 17.184201 8.804744 0.949507 3.373009 0.014427 0.110725 
150.00 1020.00 99.895808 30.429408 0.000000 17.178996 8.791628 0.963728 3.370375 0.013956 0.110725 
150.00 1015.00 99.895764 30.422211 0.000000 17.173797 8.778730 0.977775 3.367708 0.013477 0.110725 
150.00 1010.00 99.895720 30.415019 0.000000 17.168601 8.766052 0.991648 3.365005 0.012987 0.110725 
150.00 1005.00 99.895675 30.407838 0.000000 17.163410 8.753596 1.005349 3.362271 0.012487 0.110725 
150.00 1000.00 99.895631 30.400667 0.000000 17.158221 8.741363 1.018879 3.359503 0.011976 0.110725 
